,Xm,Ym,Zm,cont,datetime,dry wt (mg),fresh wt (mg),image_num,leaf_area,name,position,tray
0,0.09348205,0.11064960000000001,0.03731215,0.3097249,2015-12-14:12-54-06,220.0,266.0,1.0,367.0,PSI_Tray031_2015-12-14--12-54-06_top_1-1_4.png,p-1,31.0
1,0.09564914,0.1121838,0.03779706,0.2722335,2015-12-15:09-03-53,220.0,266.0,9.0,687.0,PSI_Tray031_2015-12-15--09-03-53_top_1-1_12.png,p-1,31.0
2,0.09889795,0.11529020000000001,0.03936044,0.26591929999999997,2015-12-15:13-33-56,220.0,266.0,10.0,719.0,PSI_Tray031_2015-12-15--13-33-56_top_1-1_13.png,p-1,31.0
3,0.09967029,0.1152675,0.04167986,0.22499539999999998,2015-12-16:11-01-59,220.0,266.0,14.0,872.0,PSI_Tray031_2015-12-16--11-01-59_top_1-1_17.png,p-1,31.0
4,0.09647509,0.11258419999999998,0.03997288,0.24253979999999997,2015-12-16:15-02-22,220.0,266.0,29.0,641.0,PSI_Tray031_2015-12-16--15-02-22_top_1-1_32.png,p-1,31.0
5,0.09482168,0.11101359999999999,0.03841101,0.238012,2015-12-16:19-14-49,220.0,266.0,31.0,670.0,PSI_Tray031_2015-12-16--19-14-49_top_1-1_34.png,p-1,31.0
6,0.09591203,0.11311099999999999,0.03731855,0.22964099999999998,2015-12-17:09-03-55,220.0,266.0,37.0,718.0,PSI_Tray031_2015-12-17--09-03-55_top_1-1_40.png,p-1,31.0
7,0.09973812,0.1164516,0.03903787,0.21528670000000003,2015-12-17:13-13-53,220.0,266.0,56.0,767.0,PSI_Tray031_2015-12-17--13-13-53_top_1-1_59.png,p-1,31.0
8,0.10351010000000001,0.12130679999999999,0.03833532,0.2273163,2015-12-17:18-06-56,220.0,266.0,66.0,1177.0,PSI_Tray031_2015-12-17--18-06-56_top_1-1_69.png,p-1,31.0
9,0.1033068,0.12185339999999999,0.03854725,0.21598820000000002,2015-12-18:09-03-55,220.0,266.0,76.0,1339.0,PSI_Tray031_2015-12-18--09-03-55_top_1-1_79.png,p-1,31.0
10,0.1016523,0.11900150000000001,0.03713563,0.22655100000000003,2015-12-18:16-34-21,220.0,266.0,86.0,1467.0,PSI_Tray031_2015-12-18--16-34-21_top_1-1_89.png,p-1,31.0
11,0.105288,0.12329160000000002,0.0377787,0.1996463,2015-12-19:10-23-02,220.0,266.0,95.0,1920.0,PSI_Tray031_2015-12-19--10-23-02_top_1-1_98.png,p-1,31.0
12,0.1051117,0.12358139999999998,0.03726015,0.1819924,2015-12-19:16-49-06,220.0,266.0,110.0,2194.0,PSI_Tray031_2015-12-19--16-49-06_top_1-1_113.png,p-1,31.0
13,0.1060843,0.1257635,0.03758304,0.16377049999999999,2015-12-20:09-03-55,220.0,266.0,126.0,2555.0,PSI_Tray031_2015-12-20--09-03-55_top_1-1_129.png,p-1,31.0
14,0.1054214,0.12404769999999998,0.03667871,0.16554129999999997,2015-12-20:16-23-44,220.0,266.0,142.0,2836.0,PSI_Tray031_2015-12-20--16-23-44_top_1-1_145.png,p-1,31.0
15,0.10335639999999999,0.12273379999999999,0.03547662,0.16495739999999998,2015-12-20:20-30-06,220.0,266.0,159.0,2739.0,PSI_Tray031_2015-12-20--20-30-06_top_1-1_162.png,p-1,31.0
16,0.1029742,0.12204169999999999,0.0358979,0.1590384,2015-12-21:09-17-08,220.0,266.0,160.0,3099.0,PSI_Tray031_2015-12-21--09-17-08_top_1-1_163.png,p-1,31.0
17,0.10653699999999999,0.1254281,0.03631721,0.1484096,2015-12-21:13-30-33,220.0,266.0,179.0,3304.0,PSI_Tray031_2015-12-21--13-30-33_top_1-1_182.png,p-1,31.0
18,0.1045493,0.12417439999999999,0.03499442,0.14116170000000003,2015-12-21:20-32-51,220.0,266.0,195.0,3318.0,PSI_Tray031_2015-12-21--20-32-51_top_1-1_198.png,p-1,31.0
19,0.10802160000000001,0.1284566,0.0368463,0.1301884,2015-12-22:09-03-55,220.0,266.0,196.0,3986.0,PSI_Tray031_2015-12-22--09-03-55_top_1-1_199.png,p-1,31.0
20,0.1079963,0.1273678,0.03679891,0.1411895,2015-12-22:13-04-09,220.0,266.0,214.0,4523.0,PSI_Tray031_2015-12-22--13-04-09_top_1-1_217.png,p-1,31.0
