,HAS,HTH,current_yield,date,future_yield,image_num,name,pos,target_dry,target_fresh,tray
0,527.0,817.0,6.2966532707214355,2015-12-14:12-54-06,[206.97278],1.0,PSI_Tray031_2015-12-14--12-54-06_top_1-1_4.png,p-1,220.0,266.0,31
1,548.0,796.0,6.4992218017578125,2015-12-15:09-03-53,[206.97278],9.0,PSI_Tray031_2015-12-15--09-03-53_top_1-1_12.png,p-1,220.0,266.0,31
2,552.0,792.0,14.572635650634766,2015-12-15:13-33-56,[206.97278],10.0,PSI_Tray031_2015-12-15--13-33-56_top_1-1_13.png,p-1,220.0,266.0,31
3,574.0,770.0,14.437275886535645,2015-12-16:11-01-59,[206.97278],14.0,PSI_Tray031_2015-12-16--11-01-59_top_1-1_17.png,p-1,220.0,266.0,31
4,578.0,766.0,6.531733512878418,2015-12-16:15-02-22,[206.97278],29.0,PSI_Tray031_2015-12-16--15-02-22_top_1-1_32.png,p-1,220.0,266.0,31
5,582.0,762.0,6.540989875793457,2015-12-16:19-14-49,[206.97278],31.0,PSI_Tray031_2015-12-16--19-14-49_top_1-1_34.png,p-1,220.0,266.0,31
6,596.0,748.0,6.845956802368164,2015-12-17:09-03-55,[206.97278],37.0,PSI_Tray031_2015-12-17--09-03-55_top_1-1_40.png,p-1,220.0,266.0,31
7,600.0,744.0,6.7341508865356445,2015-12-17:13-13-53,[206.97278],56.0,PSI_Tray031_2015-12-17--13-13-53_top_1-1_59.png,p-1,220.0,266.0,31
8,605.0,739.0,6.722115516662598,2015-12-17:18-06-56,[206.97278],66.0,PSI_Tray031_2015-12-17--18-06-56_top_1-1_69.png,p-1,220.0,266.0,31
9,620.0,724.0,6.84864616394043,2015-12-18:09-03-55,[206.97278],76.0,PSI_Tray031_2015-12-18--09-03-55_top_1-1_79.png,p-1,220.0,266.0,31
10,627.0,717.0,6.694913387298584,2015-12-18:16-34-21,[206.97278],86.0,PSI_Tray031_2015-12-18--16-34-21_top_1-1_89.png,p-1,220.0,266.0,31
11,645.0,699.0,6.692445755004883,2015-12-19:10-23-02,[206.97278],95.0,PSI_Tray031_2015-12-19--10-23-02_top_1-1_98.png,p-1,220.0,266.0,31
12,651.0,693.0,6.6721062660217285,2015-12-19:16-49-06,[206.97278],110.0,PSI_Tray031_2015-12-19--16-49-06_top_1-1_113.png,p-1,220.0,266.0,31
13,668.0,676.0,6.7837324142456055,2015-12-20:09-03-55,[206.97278],126.0,PSI_Tray031_2015-12-20--09-03-55_top_1-1_129.png,p-1,220.0,266.0,31
14,675.0,669.0,6.674158096313477,2015-12-20:16-23-44,[206.97278],142.0,PSI_Tray031_2015-12-20--16-23-44_top_1-1_145.png,p-1,220.0,266.0,31
15,679.0,665.0,6.771767616271973,2015-12-20:20-30-06,[206.97278],159.0,PSI_Tray031_2015-12-20--20-30-06_top_1-1_162.png,p-1,220.0,266.0,31
16,692.0,652.0,6.787334442138672,2015-12-21:09-17-08,[206.97278],160.0,PSI_Tray031_2015-12-21--09-17-08_top_1-1_163.png,p-1,220.0,266.0,31
17,696.0,648.0,6.669464588165283,2015-12-21:13-30-33,[206.97278],179.0,PSI_Tray031_2015-12-21--13-30-33_top_1-1_182.png,p-1,220.0,266.0,31
18,703.0,641.0,6.801607131958008,2015-12-21:20-32-51,[206.97278],195.0,PSI_Tray031_2015-12-21--20-32-51_top_1-1_198.png,p-1,220.0,266.0,31
19,716.0,628.0,6.8460164070129395,2015-12-22:09-03-55,[206.97278],196.0,PSI_Tray031_2015-12-22--09-03-55_top_1-1_199.png,p-1,220.0,266.0,31
20,720.0,624.0,6.684250354766846,2015-12-22:13-04-09,[206.97278],214.0,PSI_Tray031_2015-12-22--13-04-09_top_1-1_217.png,p-1,220.0,266.0,31
21,724.0,620.0,6.6668853759765625,2015-12-22:17-07-25,[206.97278],231.0,PSI_Tray031_2015-12-22--17-07-25_top_1-1_234.png,p-1,220.0,266.0,31
22,740.0,604.0,6.776331424713135,2015-12-23:09-03-56,[206.97278],245.0,PSI_Tray031_2015-12-23--09-03-56_top_1-1_248.png,p-1,220.0,266.0,31
